UF;Codigo da Infracao;Quantidade
ACRE;5002;28
ALAGOAS;5002;43
AMAZONAS;5002;73
AMAPA;5002;6
BAHIA;5002;918
CEARA;5002;175
DISTRITO FEDERAL;5002;636
ESPIRITO SANTO;5002;960
GOIAS;5002;3041
MARANHAO;5002;99
MATO GROSSO;5002;1206
MATO GROSSO DO SUL;5002;2534
MINAS GERAIS;5002;28606
PARA;5002;303
PARAIBA;5002;44
PARANA;5002;17023
PERNAMBUCO;5002;370
PIAUI;5002;74
RIO DE JANEIRO;5002;14224
RIO GRANDE DO NORTE;5002;73
RIO GRANDE DO SUL;5002;2953
RONDONIA;5002;292
RORAIMA;5002;22
SANTA CATARINA;5002;11835
SAO PAULO;5002;220129
SERGIPE;5002;76
TOCANTINS;5002;170
ACRE;5010;65
ALAGOAS;5010;488
AMAZONAS;5010;189
AMAPA;5010;189
BAHIA;5010;898
CEARA;5010;1050
DISTRITO FEDERAL;5010;586
ESPIRITO SANTO;5010;300
GOIAS;5010;2484
MARANHAO;5010;430
MATO GROSSO;5010;547
MATO GROSSO DO SUL;5010;500
MINAS GERAIS;5010;7654
PARA;5010;618
PARAIBA;5010;509
PARANA;5010;1459
PERNAMBUCO;5010;1680
PIAUI;5010;61
RIO DE JANEIRO;5010;611
RIO GRANDE DO NORTE;5010;417
RIO GRANDE DO SUL;5010;307
RONDONIA;5010;1076
RORAIMA;5010;242
SANTA CATARINA;5010;1849
SAO PAULO;5010;11566
SERGIPE;5010;231
TOCANTINS;5010;57
ALAGOAS;5029;5
AMAZONAS;5029;2
BAHIA;5029;6
CEARA;5029;8
DISTRITO FEDERAL;5029;19
ESPIRITO SANTO;5029;64
GOIAS;5029;19
MATO GROSSO;5029;1
MATO GROSSO DO SUL;5029;13
MINAS GERAIS;5029;240
PARAIBA;5029;7
PARANA;5029;241
PERNAMBUCO;5029;12
RIO DE JANEIRO;5029;100
RIO GRANDE DO NORTE;5029;1
RIO GRANDE DO SUL;5029;109
RONDONIA;5029;2
SANTA CATARINA;5029;173
SAO PAULO;5029;1635
SERGIPE;5029;4
TOCANTINS;5029;3
ACRE;5037;2
ALAGOAS;5037;26
AMAZONAS;5037;14
AMAPA;5037;12
BAHIA;5037;26
CEARA;5037;71
DISTRITO FEDERAL;5037;23
ESPIRITO SANTO;5037;24
GOIAS;5037;126
MARANHAO;5037;13
MATO GROSSO;5037;22
MATO GROSSO DO SUL;5037;33
MINAS GERAIS;5037;513
PARA;5037;9
PARAIBA;5037;10
PARANA;5037;70
PERNAMBUCO;5037;57
PIAUI;5037;4
RIO DE JANEIRO;5037;33
RIO GRANDE DO NORTE;5037;7
RIO GRANDE DO SUL;5037;28
RONDONIA;5037;17
RORAIMA;5037;3
SANTA CATARINA;5037;64
SAO PAULO;5037;708
SERGIPE;5037;6
TOCANTINS;5037;2
ACRE;5045;47
ALAGOAS;5045;81
AMAZONAS;5045;50
AMAPA;5045;90
BAHIA;5045;301
CEARA;5045;361
DISTRITO FEDERAL;5045;329
ESPIRITO SANTO;5045;77
GOIAS;5045;872
MARANHAO;5045;81
MATO GROSSO;5045;154
MATO GROSSO DO SUL;5045;180
MINAS GERAIS;5045;1206
PARA;5045;117
PARAIBA;5045;52
PARANA;5045;355
PERNAMBUCO;5045;383
PIAUI;5045;22
RIO DE JANEIRO;5045;156
RIO GRANDE DO NORTE;5045;79
RIO GRANDE DO SUL;5045;114
RONDONIA;5045;202
RORAIMA;5045;29
SANTA CATARINA;5045;1005
SAO PAULO;5045;5322
SERGIPE;5045;61
TOCANTINS;5045;23
ACRE;5053;2
ALAGOAS;5053;30
AMAZONAS;5053;14
AMAPA;5053;1
BAHIA;5053;92
CEARA;5053;71
DISTRITO FEDERAL;5053;20
GOIAS;5053;123
MARANHAO;5053;5
MATO GROSSO;5053;7
MATO GROSSO DO SUL;5053;6
MINAS GERAIS;5053;74
PARA;5053;22
PARAIBA;5053;30
PARANA;5053;24
PERNAMBUCO;5053;81
PIAUI;5053;2
RIO DE JANEIRO;5053;5
RIO GRANDE DO NORTE;5053;14
RIO GRANDE DO SUL;5053;15
RONDONIA;5053;4
SANTA CATARINA;5053;84
SAO PAULO;5053;125
SERGIPE;5053;8
TOCANTINS;5053;5
ACRE;5061;5
ALAGOAS;5061;7
AMAZONAS;5061;3
AMAPA;5061;4
BAHIA;5061;53
CEARA;5061;32
DISTRITO FEDERAL;5061;16
ESPIRITO SANTO;5061;10
GOIAS;5061;22
MARANHAO;5061;14
MATO GROSSO;5061;19
MATO GROSSO DO SUL;5061;19
MINAS GERAIS;5061;93
PARA;5061;21
PARAIBA;5061;34
PARANA;5061;37
PERNAMBUCO;5061;24
RIO DE JANEIRO;5061;7
RIO GRANDE DO NORTE;5061;7
RIO GRANDE DO SUL;5061;5
RONDONIA;5061;52
RORAIMA;5061;7
SANTA CATARINA;5061;83
SAO PAULO;5061;400
SERGIPE;5061;3
AMAZONAS;5070;1
BAHIA;5070;2
CEARA;5070;1
MINAS GERAIS;5070;6
PARANA;5070;5
RIO DE JANEIRO;5070;4
RIO GRANDE DO NORTE;5070;2
RIO GRANDE DO SUL;5070;6
RONDONIA;5070;1
SANTA CATARINA;5070;6
SAO PAULO;5070;34
SERGIPE;5070;2
CEARA;5088;5
MINAS GERAIS;5088;8
PARA;5088;1
PARAIBA;5088;1
PARANA;5088;3
PERNAMBUCO;5088;1
RIO GRANDE DO SUL;5088;2
RONDONIA;5088;1
SANTA CATARINA;5088;4
SAO PAULO;5088;18
ALAGOAS;5096;3
BAHIA;5096;7
CEARA;5096;10
DISTRITO FEDERAL;5096;1
ESPIRITO SANTO;5096;3
GOIAS;5096;3
MATO GROSSO;5096;2
MATO GROSSO DO SUL;5096;2
MINAS GERAIS;5096;10
PARA;5096;2
PARANA;5096;15
PERNAMBUCO;5096;10
PIAUI;5096;1
RIO DE JANEIRO;5096;1
RIO GRANDE DO NORTE;5096;1
RIO GRANDE DO SUL;5096;13
RONDONIA;5096;3
SANTA CATARINA;5096;27
SAO PAULO;5096;88
AMAZONAS;5100;2
CEARA;5100;2
MATO GROSSO;5100;1
MINAS GERAIS;5100;1
PARAIBA;5100;8
PERNAMBUCO;5100;2
RIO GRANDE DO SUL;5100;1
RONDONIA;5100;1
RORAIMA;5100;1
SANTA CATARINA;5100;2
SAO PAULO;5100;2
ACRE;5118;37
ALAGOAS;5118;78
AMAZONAS;5118;68
AMAPA;5118;46
BAHIA;5118;152
CEARA;5118;712
DISTRITO FEDERAL;5118;36
ESPIRITO SANTO;5118;150
GOIAS;5118;92
MARANHAO;5118;14
MATO GROSSO;5118;30
MATO GROSSO DO SUL;5118;184
MINAS GERAIS;5118;680
PARA;5118;106
PARAIBA;5118;70
PARANA;5118;971
PERNAMBUCO;5118;316
PIAUI;5118;9
RIO DE JANEIRO;5118;57
RIO GRANDE DO NORTE;5118;12
RIO GRANDE DO SUL;5118;63
RONDONIA;5118;380
RORAIMA;5118;24
SANTA CATARINA;5118;874
SAO PAULO;5118;2363
SERGIPE;5118;15
TOCANTINS;5118;1
ALAGOAS;5126;1
AMAZONAS;5126;2
BAHIA;5126;2
CEARA;5126;8
DISTRITO FEDERAL;5126;1
ESPIRITO SANTO;5126;18
GOIAS;5126;3
MATO GROSSO;5126;1
MATO GROSSO DO SUL;5126;5
MINAS GERAIS;5126;39
PARANA;5126;101
PERNAMBUCO;5126;3
PIAUI;5126;1
RIO DE JANEIRO;5126;2
RIO GRANDE DO SUL;5126;10
RONDONIA;5126;2
SANTA CATARINA;5126;50
SAO PAULO;5126;227
ACRE;5134;2
ALAGOAS;5134;1
AMAZONAS;5134;1
AMAPA;5134;2
BAHIA;5134;1
CEARA;5134;43
DISTRITO FEDERAL;5134;2
ESPIRITO SANTO;5134;5
GOIAS;5134;6
MARANHAO;5134;1
MATO GROSSO DO SUL;5134;13
MINAS GERAIS;5134;51
PARA;5134;2
PARAIBA;5134;1
PARANA;5134;27
PERNAMBUCO;5134;8
PIAUI;5134;2
RIO DE JANEIRO;5134;3
RIO GRANDE DO NORTE;5134;2
RIO GRANDE DO SUL;5134;2
RONDONIA;5134;8
SANTA CATARINA;5134;12
SAO PAULO;5134;135
SERGIPE;5134;1
TOCANTINS;5134;1
ACRE;5142;12
ALAGOAS;5142;3
AMAZONAS;5142;1
AMAPA;5142;7
BAHIA;5142;26
CEARA;5142;160
DISTRITO FEDERAL;5142;8
ESPIRITO SANTO;5142;10
GOIAS;5142;30
MARANHAO;5142;2
MATO GROSSO;5142;2
MATO GROSSO DO SUL;5142;55
MINAS GERAIS;5142;107
PARA;5142;12
PARAIBA;5142;1
PARANA;5142;124
PERNAMBUCO;5142;28
PIAUI;5142;5
RIO DE JANEIRO;5142;6
RIO GRANDE DO NORTE;5142;1
RIO GRANDE DO SUL;5142;13
RONDONIA;5142;62
SANTA CATARINA;5142;224
SAO PAULO;5142;677
SERGIPE;5142;1
TOCANTINS;5142;1
AMAZONAS;5150;1
CEARA;5150;28
DISTRITO FEDERAL;5150;1
ESPIRITO SANTO;5150;1
MATO GROSSO;5150;1
MATO GROSSO DO SUL;5150;1
