UF;Codigo da Infracao;Quantidade
ACRE;5002;45
ALAGOAS;5002;33
AMAZONAS;5002;75
AMAPA;5002;4
BAHIA;5002;421
CEARA;5002;76
DISTRITO FEDERAL;5002;411
ESPIRITO SANTO;5002;381
GOIAS;5002;2164
MARANHAO;5002;68
MATO GROSSO;5002;1142
MATO GROSSO DO SUL;5002;1319
MINAS GERAIS;5002;14322
PARA;5002;213
PARAIBA;5002;18
PARANA;5002;6126
PERNAMBUCO;5002;148
PIAUI;5002;129
RIO DE JANEIRO;5002;898
RIO GRANDE DO NORTE;5002;40
RIO GRANDE DO SUL;5002;1600
RONDONIA;5002;232
RORAIMA;5002;10
SANTA CATARINA;5002;3395
SAO PAULO;5002;142214
SERGIPE;5002;28
TOCANTINS;5002;179
ALAGOAS;5010;7
AMAPA;5010;1
BAHIA;5010;302
CEARA;5010;10
DISTRITO FEDERAL;5010;37
ESPIRITO SANTO;5010;20
GOIAS;5010;31
MARANHAO;5010;5
MATO GROSSO;5010;13
MATO GROSSO DO SUL;5010;14
MINAS GERAIS;5010;4210
PARA;5010;58
PARAIBA;5010;6
PARANA;5010;24
PERNAMBUCO;5010;11
PIAUI;5010;4
RIO DE JANEIRO;5010;39
RIO GRANDE DO NORTE;5010;9
RIO GRANDE DO SUL;5010;6
RONDONIA;5010;13
RORAIMA;5010;2
SANTA CATARINA;5010;7
SAO PAULO;5010;502
SERGIPE;5010;6
TOCANTINS;5010;44
BAHIA;5029;2
CEARA;5029;1
ESPIRITO SANTO;5029;1
GOIAS;5029;2
MATO GROSSO DO SUL;5029;2
MINAS GERAIS;5029;126
PARA;5029;1
PARANA;5029;12
RIO DE JANEIRO;5029;2
RIO GRANDE DO SUL;5029;2
SANTA CATARINA;5029;3
SAO PAULO;5029;170
ALAGOAS;5037;3
BAHIA;5037;24
CEARA;5037;2
DISTRITO FEDERAL;5037;5
ESPIRITO SANTO;5037;1
MARANHAO;5037;1
MATO GROSSO;5037;1
MATO GROSSO DO SUL;5037;2
MINAS GERAIS;5037;270
PARANA;5037;2
PERNAMBUCO;5037;1
PIAUI;5037;1
RIO DE JANEIRO;5037;1
RIO GRANDE DO SUL;5037;1
RONDONIA;5037;2
SANTA CATARINA;5037;2
SAO PAULO;5037;38
TOCANTINS;5037;1
ALAGOAS;5045;1
BAHIA;5045;140
CEARA;5045;9
DISTRITO FEDERAL;5045;28
ESPIRITO SANTO;5045;7
GOIAS;5045;14
MARANHAO;5045;1
MATO GROSSO;5045;5
MATO GROSSO DO SUL;5045;8
MINAS GERAIS;5045;570
PARA;5045;20
PARAIBA;5045;1
PARANA;5045;27
PERNAMBUCO;5045;1
PIAUI;5045;2
RIO DE JANEIRO;5045;9
RIO GRANDE DO NORTE;5045;1
RIO GRANDE DO SUL;5045;5
RONDONIA;5045;4
RORAIMA;5045;1
SANTA CATARINA;5045;10
SAO PAULO;5045;403
SERGIPE;5045;3
TOCANTINS;5045;13
BAHIA;5053;136
CEARA;5053;3
DISTRITO FEDERAL;5053;6
GOIAS;5053;1
MATO GROSSO;5053;1
MATO GROSSO DO SUL;5053;5
MINAS GERAIS;5053;29
PARA;5053;4
PARAIBA;5053;1
PARANA;5053;3
PERNAMBUCO;5053;1
PIAUI;5053;1
RIO DE JANEIRO;5053;2
RIO GRANDE DO SUL;5053;3
RORAIMA;5053;1
SANTA CATARINA;5053;3
SAO PAULO;5053;50
SERGIPE;5053;1
AMAPA;5061;1
BAHIA;5061;22
CEARA;5061;1
DISTRITO FEDERAL;5061;1
ESPIRITO SANTO;5061;1
GOIAS;5061;1
MINAS GERAIS;5061;66
PARA;5061;9
PARANA;5061;2
PERNAMBUCO;5061;1
RIO DE JANEIRO;5061;3
RIO GRANDE DO SUL;5061;1
RONDONIA;5061;1
SAO PAULO;5061;21
TOCANTINS;5061;4
MINAS GERAIS;5070;1
SAO PAULO;5070;10
BAHIA;5088;1
MINAS GERAIS;5088;7
SAO PAULO;5088;2
BAHIA;5096;3
DISTRITO FEDERAL;5096;1
GOIAS;5096;1
MINAS GERAIS;5096;13
PARA;5096;2
PARANA;5096;2
SANTA CATARINA;5096;2
SAO PAULO;5096;22
SERGIPE;5096;1
TOCANTINS;5096;1
SAO PAULO;5100;4
ALAGOAS;5118;3
BAHIA;5118;11
CEARA;5118;4
DISTRITO FEDERAL;5118;1
ESPIRITO SANTO;5118;1
GOIAS;5118;6
MATO GROSSO;5118;2
MATO GROSSO DO SUL;5118;8
MINAS GERAIS;5118;400
PARA;5118;4
PARAIBA;5118;2
PARANA;5118;14
PIAUI;5118;1
RIO DE JANEIRO;5118;7
RIO GRANDE DO NORTE;5118;1
RIO GRANDE DO SUL;5118;2
SANTA CATARINA;5118;2
SAO PAULO;5118;197
MATO GROSSO DO SUL;5126;2
MINAS GERAIS;5126;16
PARANA;5126;2
SANTA CATARINA;5126;1
SAO PAULO;5126;55
BAHIA;5134;1
DISTRITO FEDERAL;5134;1
MATO GROSSO DO SUL;5134;1
